CPU,2,1200
GPU atomic,2,671400
GPU reduction,2,97200
CPU,4,100
GPU atomic,4,32300
GPU reduction,4,31500
CPU,8,100
GPU atomic,8,21100
GPU reduction,8,35900
CPU,16,200
GPU atomic,16,25800
GPU reduction,16,39800
CPU,32,300
GPU atomic,32,22800
GPU reduction,32,69500
CPU,64,300
GPU atomic,64,22700
GPU reduction,64,64600
CPU,128,400
GPU atomic,128,36600
GPU reduction,128,67900
CPU,256,700
GPU atomic,256,25300
GPU reduction,256,66300
CPU,512,1200
GPU atomic,512,21100
GPU reduction,512,69300
CPU,1024,1600
GPU atomic,1024,31200
GPU reduction,1024,73000
CPU,2048,3100
GPU atomic,2048,23000
GPU reduction,2048,75800
CPU,2,100
GPU atomic,2,21500
GPU reduction,2,24800
CPU,4,200
GPU atomic,4,33200
GPU reduction,4,31300
CPU,8,200
GPU atomic,8,25800
GPU reduction,8,49100
CPU,16,200
GPU atomic,16,35000
GPU reduction,16,46600
CPU,32,200
GPU atomic,32,22600
GPU reduction,32,45600
CPU,64,300
GPU atomic,64,36300
GPU reduction,64,54400
CPU,128,300
GPU atomic,128,20400
GPU reduction,128,56800
CPU,256,600
GPU atomic,256,19700
GPU reduction,256,58300
CPU,512,1000
GPU atomic,512,19900
GPU reduction,512,65600
CPU,1024,1700
GPU atomic,1024,20900
GPU reduction,1024,70300
CPU,2048,18300
GPU atomic,2048,21800
GPU reduction,2048,76900
CPU,2,100
GPU atomic,2,24500
GPU reduction,2,23600
CPU,4,100
GPU atomic,4,19600
GPU reduction,4,32800
CPU,8,200
GPU atomic,8,102600
GPU reduction,8,36100
CPU,16,200
GPU atomic,16,19800
GPU reduction,16,39900
CPU,32,200
GPU atomic,32,21100
GPU reduction,32,47600
CPU,64,300
GPU atomic,64,21600
GPU reduction,64,50000
CPU,128,400
GPU atomic,128,22200
GPU reduction,128,59200
CPU,256,800
GPU atomic,256,34100
GPU reduction,256,60900
CPU,512,900
GPU atomic,512,20200
GPU reduction,512,71200
CPU,1024,2300
GPU atomic,1024,37100
GPU reduction,1024,75000
CPU,2048,2900
GPU atomic,2048,37800
GPU reduction,2048,76000
CPU,2,200
GPU atomic,2,20600
GPU reduction,2,26100
CPU,4,100
GPU atomic,4,21700
GPU reduction,4,29800
CPU,8,200
GPU atomic,8,33800
GPU reduction,8,34100
CPU,16,200
GPU atomic,16,25700
GPU reduction,16,40600
CPU,32,200
GPU atomic,32,20100
GPU reduction,32,60000
CPU,64,300
GPU atomic,64,29000
GPU reduction,64,52900
CPU,128,500
GPU atomic,128,25100
GPU reduction,128,58800
CPU,256,600
GPU atomic,256,20600
GPU reduction,256,60700
CPU,512,800
GPU atomic,512,22200
GPU reduction,512,66300
CPU,1024,1600
GPU atomic,1024,20300
GPU reduction,1024,70700
CPU,2048,3000
GPU atomic,2048,21100
GPU reduction,2048,75500
CPU,2,100
GPU atomic,2,20700
GPU reduction,2,24700
CPU,4,100
GPU atomic,4,20700
GPU reduction,4,29000
CPU,8,100
GPU atomic,8,23000
GPU reduction,8,37500
CPU,16,100
GPU atomic,16,21100
GPU reduction,16,41300
CPU,32,200
GPU atomic,32,21700
GPU reduction,32,80100
CPU,64,200
GPU atomic,64,22400
GPU reduction,64,49500
CPU,128,300
GPU atomic,128,22900
GPU reduction,128,55100
CPU,256,500
GPU atomic,256,20100
GPU reduction,256,61500
CPU,512,900
GPU atomic,512,20300
GPU reduction,512,66300
CPU,1024,1500
GPU atomic,1024,21900
GPU reduction,1024,72400
CPU,2048,2800
GPU atomic,2048,22300
GPU reduction,2048,76300
CPU,2,100
GPU atomic,2,24900
GPU reduction,2,32000
CPU,4,200
GPU atomic,4,19600
GPU reduction,4,29500
CPU,8,100
GPU atomic,8,17700
GPU reduction,8,33900
CPU,16,100
GPU atomic,16,19900
GPU reduction,16,38000
CPU,32,300
GPU atomic,32,19600
GPU reduction,32,44200
CPU,64,300
GPU atomic,64,18900
GPU reduction,64,49600
CPU,128,300
GPU atomic,128,61500
GPU reduction,128,53700
CPU,256,500
GPU atomic,256,19100
GPU reduction,256,60100
CPU,512,800
GPU atomic,512,25400
GPU reduction,512,69800
CPU,1024,1500
GPU atomic,1024,47300
GPU reduction,1024,71000
CPU,2048,2800
GPU atomic,2048,23800
GPU reduction,2048,80400
CPU,2,100
GPU atomic,2,21900
GPU reduction,2,26300
CPU,4,100
GPU atomic,4,22800
GPU reduction,4,30800
CPU,8,200
GPU atomic,8,21600
GPU reduction,8,52500
CPU,16,200
GPU atomic,16,21100
GPU reduction,16,75200
CPU,32,200
GPU atomic,32,32100
GPU reduction,32,112900
CPU,64,200
GPU atomic,64,24600
GPU reduction,64,50700
CPU,128,300
GPU atomic,128,19600
GPU reduction,128,54200
CPU,256,500
GPU atomic,256,20400
GPU reduction,256,59000
CPU,512,900
GPU atomic,512,19500
GPU reduction,512,65000
CPU,1024,1500
GPU atomic,1024,19600
GPU reduction,1024,70600
CPU,2048,3000
GPU atomic,2048,24600
GPU reduction,2048,83600
CPU,2,100
GPU atomic,2,23500
GPU reduction,2,27600
CPU,4,100
GPU atomic,4,26900
GPU reduction,4,30600
CPU,8,200
GPU atomic,8,22000
GPU reduction,8,35500
CPU,16,300
GPU atomic,16,25000
GPU reduction,16,47300
CPU,32,200
GPU atomic,32,21300
GPU reduction,32,45700
CPU,64,300
GPU atomic,64,21600
GPU reduction,64,64300
CPU,128,400
GPU atomic,128,87700
GPU reduction,128,92600
CPU,256,500
GPU atomic,256,23400
GPU reduction,256,62000
CPU,512,900
GPU atomic,512,24500
GPU reduction,512,67800
CPU,1024,1600
GPU atomic,1024,27500
GPU reduction,1024,76000
CPU,2048,2900
GPU atomic,2048,26400
GPU reduction,2048,90200
CPU,2,100
GPU atomic,2,21100
GPU reduction,2,30600
CPU,4,100
GPU atomic,4,23800
GPU reduction,4,35000
CPU,8,200
GPU atomic,8,37500
GPU reduction,8,40800
CPU,16,200
GPU atomic,16,21000
GPU reduction,16,41800
CPU,32,200
GPU atomic,32,25600
GPU reduction,32,47100
CPU,64,200
GPU atomic,64,23900
GPU reduction,64,84800
CPU,128,400
GPU atomic,128,36200
GPU reduction,128,55200
CPU,256,700
